occupation	major group	sub-major Group	minor group	Group Title
1115	1	11	111	Chief executives and senior officials
1116	1	11	111	Elected officers and representatives
1121	1	11	112	Production managers and directors in manufacturing
1122	1	11	112	Production managers and directors in construction
1123	1	11	112	Production managers and directors in mining and energy
1131	1	11	113	Financial managers and directors
1132	1	11	113	Marketing and sales directors
1133	1	11	113	Purchasing managers and directors
1134	1	11	113	Advertising and public relations directors
1135	1	11	113	Human resource managers and directors
1136	1	11	113	Information technology and telecommunications directors
1139	1	11	113	Functional managers and directors n.e.c.
1150	1	11	115	Financial institution managers and directors
1161	1	11	116	Managers and directors in transport and distribution
1162	1	11	116	Managers and directors in storage and warehousing
1171	1	11	117	Officers in armed forces
1172	1	11	117	Senior police officers
1173	1	11	117	Senior officers in fire, ambulance, prison and related services
1181	1	11	118	Health services and public health managers and directors
1184	1	11	118	Social services managers and directors
1190	1	11	119	Managers and directors in retail and wholesale
1211	1	12	121	Managers and proprietors in agriculture and horticulture
1213	1	12	121	Managers and proprietors in forestry, fishing and related services
1221	1	12	122	Hotel and accommodation managers and proprietors
1223	1	12	122	Restaurant and catering establishment managers and proprietors
1224	1	12	122	Publicans and managers of licensed premises
1225	1	12	122	Leisure and sports managers
1226	1	12	122	Travel agency managers and proprietors
1241	1	12	124	Health care practice managers
1242	1	12	124	Residential, day and domiciliary care managers and proprietors
1251	1	12	125	Property, housing and estate managers
1252	1	12	125	Garage managers and proprietors
1253	1	12	125	Hairdressing and beauty salon managers and proprietors
1254	1	12	125	Shopkeepers and proprietors – wholesale and retail
1255	1	12	125	Waste disposal and environmental services managers
1259	1	12	125	Managers and proprietors in other services n.e.c.
2111	2	21	211	Chemical scientists
2112	2	21	211	Biological scientists and biochemists
2113	2	21	211	Physical scientists
2114	2	21	211	Social and humanities scientists
2119	2	21	211	Natural and social science professionals n.e.c.
2121	2	21	212	Civil engineers
2122	2	21	212	Mechanical engineers
2123	2	21	212	Electrical engineers
2124	2	21	212	Electronics engineers
2126	2	21	212	Design and development engineers
2127	2	21	212	Production and process engineers
2129	2	21	212	Engineering professionals n.e.c.
2133	2	21	213	IT specialist managers
2134	2	21	213	IT project and programme managers
2135	2	21	213	IT business analysts, architects and systems designers
2136	2	21	213	Programmers and software development professionals
2137	2	21	213	Web design and development professionals
2139	2	21	213	Information technology and telecommunications professionals n.e.c.
2141	2	21	214	Conservation professionals
2142	2	21	214	Environment professionals
2150	2	21	215	Research and development managers
2211	2	22	221	Medical practitioners
2212	2	22	221	Psychologists
2213	2	22	221	Pharmacists
2214	2	22	221	Ophthalmic opticians
2215	2	22	221	Dental practitioners
2216	2	22	221	Veterinarians
2217	2	22	221	Medical radiographers
2218	2	22	221	Podiatrists
2219	2	22	221	Health professionals n.e.c.
2221	2	22	222	Physiotherapists
2222	2	22	222	Occupational therapists
2223	2	22	222	Speech and language therapists
2229	2	22	222	Therapy professionals n.e.c.
2231	2	22	223	Nurses
2232	2	22	223	Midwives
2311	2	23	231	Higher education teaching professionals
2312	2	23	231	Further education teaching professionals
2314	2	23	231	Secondary education teaching professionals
2315	2	23	231	Primary and nursery education teaching professionals
2316	2	23	231	Special needs education teaching professionals
2317	2	23	231	Senior professionals of educational establishments
2318	2	23	231	Education advisers and school inspectors
2319	2	23	231	Teaching and other educational professionals n.e.c.
2412	2	24	241	Barristers and judges
2413	2	24	241	Solicitors
2419	2	24	241	Legal professionals n.e.c.
2421	2	24	242	Chartered and certified accountants
2423	2	24	242	Management consultants and business analysts
2424	2	24	242	Business and financial project management professionals
2425	2	24	242	Actuaries, economists and statisticians
2426	2	24	242	Business and related research professionals
2429	2	24	242	Business, research and administrative professionals n.e.c.
2431	2	24	243	Architects
2432	2	24	243	Town planning officers
2433	2	24	243	Quantity surveyors
2434	2	24	243	Chartered surveyors
2435	2	24	243	Chartered architectural technologists
2436	2	24	243	Construction project managers and related professionals
2442	2	24	244	Social workers
2443	2	24	244	Probation officers
2444	2	24	244	Clergy
2449	2	24	244	Welfare professionals n.e.c.
2451	2	24	245	Librarians
2452	2	24	245	Archivists and curators
2461	2	24	246	Quality control and planning engineers
2462	2	24	246	Quality assurance and regulatory professionals
2463	2	24	246	Environmental health professionals
2471	2	24	247	Journalists, newspaper and periodical editors
2472	2	24	247	Public relations professionals
2473	2	24	247	Advertising accounts managers and creative directors
3111	3	31	311	Laboratory technicians
3112	3	31	311	Electrical and electronics technicians
3113	3	31	311	Engineering technicians
3114	3	31	311	Building and civil engineering technicians
3115	3	31	311	Quality assurance technicians
3116	3	31	311	Planning, process and production technicians
3119	3	31	311	Science, engineering and production technicians n.e.c.
3121	3	31	312	Architectural and town planning technicians
3122	3	31	312	Draughtspersons
3131	3	31	313	IT operations technicians
3132	3	31	313	IT user support technicians
3213	3	32	321	Paramedics
3216	3	32	321	Dispensing opticians
3217	3	32	321	Pharmaceutical technicians
3218	3	32	321	Medical and dental technicians
3219	3	32	321	Health associate professionals n.e.c.
3231	3	32	323	Youth and community workers
3233	3	32	323	Child and early years officers
3234	3	32	323	Housing officers
3235	3	32	323	Counsellors
3239	3	32	323	Welfare and housing associate professionals n.e.c.
3311	3	33	331	NCOs and other ranks
3312	3	33	331	Police officers (sergeant and below)
3313	3	33	331	Fire service officers (watch manager and below)
3314	3	33	331	Prison service officers (below principal officer)
3315	3	33	331	Police community support officers
3319	3	33	331	Protective service associate professionals n.e.c.
3411	3	34	341	Artists
3412	3	34	341	Authors, writers and translators
3413	3	34	341	Actors, entertainers and presenters
3414	3	34	341	Dancers and choreographers
3415	3	34	341	Musicians
3416	3	34	341	Arts officers, producers and directors
3417	3	34	341	Photographers, audio-visual and broadcasting equipment operators
3421	3	34	342	Graphic designers
3422	3	34	342	Product, clothing and related designers
3441	3	34	344	Sports players
3442	3	34	344	Sports coaches, instructors and officials
3443	3	34	344	Fitness instructors
3511	3	35	351	Air traffic controllers
3512	3	35	351	Aircraft pilots and flight engineers
3513	3	35	351	Ship and hovercraft officers
3520	3	35	352	Legal associate professionals
3531	3	35	353	Estimators, valuers and assessors
3532	3	35	353	Brokers
3533	3	35	353	Insurance underwriters
3534	3	35	353	Finance and investment analysts and advisers
3535	3	35	353	Taxation experts
3536	3	35	353	Importers and exporters
3537	3	35	353	Financial and accounting technicians
3538	3	35	353	Financial accounts managers
3539	3	35	353	Business and related associate professionals n.e.c.
3541	3	35	354	Buyers and procurement officers
3542	3	35	354	Business sales executives
3543	3	35	354	Marketing associate professionals
3544	3	35	354	Estate agents and auctioneers
3545	3	35	354	Sales accounts and business development managers
3546	3	35	354	Conference and exhibition managers and organisers
3550	3	35	355	Conservation and environmental associate professionals
3561	3	35	356	Public services associate professionals
3562	3	35	356	Human resources and industrial relations officers
3563	3	35	356	Vocational and industrial trainers and instructors
3564	3	35	356	Careers advisers and vocational guidance specialists
3565	3	35	356	Inspectors of standards and regulations
3567	3	35	356	Health and safety officers
4112	4	41	411	National government administrative occupations
4113	4	41	411	Local government administrative occupations
