code	name
1	Managers, directors and senior officials
2	Professional occupations
3	Associate professional and technical occupations
4	Administrative and secretarial occupations
5	Skilled trades occupations
6	Caring, leisure and other service occupations
7	Sales and customer service occupations
8	Process, plant and machine operatives
9	Elementary occupations
11	Corporate managers and directors
12	Other managers and proprietors
21	Science, research, engineering and technology professionals
22	Health professionals
23	Teaching and educational professionals
24	Business, media and public service professionals
31	Science, engineering and technology associate professionals
32	Health and social care associate professionals
33	Protective service occupations
34	Culture, media and sports occupations
35	Business and public service associate professionals
41	Administrative occupations
42	Secretarial and related occupations
51	Skilled agricultural and related trades
52	Skilled metal, electrical and electronic trades
53	Skilled construction and building trades
54	Textiles, printing and other skilled trades
61	Caring personal service occupations
62	Leisure, travel and related personal service occupations
71	Sales occupations
72	Customer service occupations
81	Process, plant and machine operatives
82	Transport and mobile machine drivers and operatives
91	Elementary trades and related occupations
92	Elementary administration and service occupations
111	Chief executives and senior officials
112	Production managers and directors
113	Functional managers and directors
115	Financial institution managers and directors
116	Managers and directors in transport and logistics
117	Senior officers in protective services
118	Health and social services managers and directors
119	Managers and directors in retail and wholesale
121	Managers and proprietors in agriculture related services
122	Managers and proprietors in hospitality and leisure services
124	Managers and proprietors in health and care services
125	Managers and proprietors in other services
211	Natural and social science professionals
212	Engineering professionals
213	Information technology and telecommunications professionals
214	Conservation and environment professionals
215	Research and development managers
221	Health professionals
222	Therapy professionals
223	Nursing and midwifery professionals
231	Teaching and educational professionals
241	Legal professionals
242	Business, research and administrative professionals
243	Architects, town planners and surveyors
244	Welfare professionals
245	Librarians and related professionals
246	Quality and regulatory professionals
247	Media professionals
311	Science, engineering and production technicians
312	Draughtspersons and related architectural technicians
313	Information technology technicians
321	Health associate professionals
323	Welfare and housing associate professionals
331	Protective service occupations
341	Artistic, literary and media occupations
342	Design occupations
344	Sports and fitness occupations
351	Transport associate professionals
352	Legal associate professionals
353	Business, finance and related associate professionals
354	Sales, marketing and related associate professionals
355	Conservation and environmental associate professionals
356	Public services and other associate professionals
411	Administrative occupations: government and related organisations
412	Administrative occupations: finance
413	Administrative occupations: records
415	Other administrative occupations
416	Administrative occupations: office managers and supervisors
421	Secretarial and related occupations
511	Agricultural and related trades
521	Metal forming, welding and related trades
522	Metal machining, fitting and instrument making trades
523	Vehicle trades
524	Electrical and electronic trades
525	Skilled metal, electrical and electronic trades supervisors
531	Construction and building trades
532	Building finishing trades
533	Construction and building trades supervisors
541	Textiles and garments trades
542	Printing trades
543	Food preparation and hospitality trades
544	Other skilled trades
612	Childcare and related personal services
613	Animal care and control services
614	Caring personal services
621	Leisure and travel services
622	Hairdressers and related services
623	Housekeeping and related services
624	Cleaning and housekeeping managers and supervisors
711	Sales assistants and retail cashiers
712	Sales related occupations
713	Sales supervisors
721	Customer service occupations
722	Customer service managers and supervisors
811	Process operatives
812	Plant and machine operatives
813	Assemblers and routine operatives
814	Construction operatives
821	Road transport drivers
822	Mobile machine drivers and operatives
823	Other drivers and transport operatives
911	Elementary agricultural occupations
912	Elementary construction occupations
913	Elementary process plant occupations
921	Elementary administration occupations
923	Elementary cleaning occupations
924	Elementary security occupations
925	Elementary sales occupations
926	Elementary storage occupations
927	Other elementary services occupations
11150	Chief executives and senior officials
11160	Elected officers and representatives
11210	Production managers and directors in manufacturing
11220	Production managers and directors in construction
11230	Production managers and directors in mining and energy
11311	Finance managers and directors
11312	Investment/ merchant bankers
11313	Chartered company secretaries, treasurers, company registrars
11319	Financial managers and directors n.e.c.
11320	Marketing and sales directors
11330	Purchasing managers and directors
11340	Advertising and public relations directors
11350	Human resource managers and directors
11360	Information technology and telecommunications directors
11390	Functional managers and directors n.e.c.
11500	Financial institution managers and directors
11610	Managers and directors in transport and distribution
11620	Managers and directors in storage and warehousing
11710	Officers in armed forces
11720	Senior police officers
11730	Senior officers in fire, ambulance, prison and related services
11810	Health services and public health managers and directors
11840	Social services managers and directors
11900	Managers and directors in retail and wholesale
12110	Managers and proprietors in agriculture and horticulture
12130	Managers and proprietors in forestry, fishing and related services
12210	Hotel and accommodation managers and proprietors
12230	Restaurant and catering establishment managers and proprietors
12240	Publicans and managers of licensed premises
12250	Leisure and sports managers
12260	Travel agency managers and proprietors
12410	Health care practice managers
12420	Residential, day and domiciliary care managers and proprietors
12510	Property, housing and estate managers
12520	Garage managers and proprietors
12530	Hairdressing and beauty salon managers and proprietors
12540	Shopkeepers and proprietors - wholesale and retail
12550	Waste disposal and environmental services managers
12590	Managers and proprietors in other services n.e.c.
21111	Chemists
21112	Research/ development chemists
21113	Analytical chemists
21119	Chemical scientists n.e.c.
21121	Biochemists, medical scientists
21122	Biologists
21123	Bacteriologists, microbiologists, etc.
21124	Botanists
21125	Pathologists
21126	Agricultural scientists
21127	Physiologists
21128	Pharmacologists
21129	Biological scientists and biochemists n.e.c.
21131	Physicists
21132	Geophysicists
21133	Geologists, mineralogists, etc.
21134	Meteorologists
21135	Astronomers
21139	Physical scientists n.e.c.
21140	Social and humanities scientists
21191	University researchers, unspecified discipline
21192	Sports scientists
21199	Natural and social science professionals n.e.c.
21210	Civil engineers
21220	Mechanical engineers
21230	Electrical engineers
21240	Electronics engineers
21260	Design and development engineers
21270	Production and process engineers
21290	Engineering professionals n.e.c.
21330	IT specialist managers
21340	IT project and programme managers
21350	IT business analysts, architects and systems designers
21360	Programmers and software development professionals
21370	Web design and development professionals
21390	Information technology and telecommunications professionals n.e.c.
21410	Conservation professionals
21420	Environment professionals
21500	Research and development managers
22110	Medical practitioners
22121	Psychologists
22122	Education psychologists
22123	Clinical psychologists
22124	Occupational psychologists
22129	Psychology assistants
22130	Pharmacists
22140	Ophthalmic opticians
22150	Dental practitioners
22160	Veterinarians
22170	Medical radiographers
22180	Podiatrists
22190	Health professionals n.e.c.
22210	Physiotherapists
22220	Occupational therapists
22230	Speech and language therapists
22290	Therapy professionals n.e.c.
22310	Nurses
22320	Midwives
23110	Higher education teaching professionals
23120	Further education teaching professionals
23140	Secondary education teaching professionals
23150	Primary and nursery education teaching professionals
23160	Special needs education teaching professionals
23170	Senior professionals of educational establishments
23180	Education advisers and school inspectors
23190	Teaching and other educational professionals n.e.c.
24120	Barristers and judges
24130	Solicitors
24190	Legal professionals n.e.c.
24210	Chartered and certified accountants
24230	Management consultants and business analysts
24240	Business and financial project management professionals
24251	Actuaries
24252	Economists
24253	Statisticians
24254	Mathematicians
24259	Actuaries, economists and statisticians n.e.c.
24261	Researchers (media)
24262	Researchers (national security, police)
24269	Researchers n.e.c.
24290	Business, research and administrative professionals n.e.c.
24310	Architects
24320	Town planning officers
24330	Quantity surveyors
24340	Chartered surveyors
24350	Chartered architectural technologists
24360	Construction project managers and related professionals
24420	Social workers
24430	Probation officers
24440	Clergy
24490	Welfare professionals n.e.c.
24510	Librarians
24520	Archivists and curators
24610	Quality control and planning engineers
24620	Quality assurance and regulatory professionals
24630	Environmental health professionals
24710	Journalists, newspaper and periodical editors
24720	Public relations professionals
24730	Advertising accounts managers and creative directors
31110	Laboratory technicians
31120	Electrical and electronics technicians
31130	Engineering technicians
31140	Building and civil engineering technicians
31150	Quality assurance technicians
31160	Planning, process and production technicians
31190	Science, engineering and production technicians n.e.c.
31210	Architectural and town planning technicians
31220	Draughtspersons
31310	IT operations technicians
31320	IT user support technicians
32130	Paramedics
32160	Dispensing opticians
32170	Pharmaceutical technicians
32180	Medical and dental technicians
32190	Health associate professionals n.e.c.
32310	Youth and community workers
32330	Child and early years officers
32340	Housing officers
32350	Counsellors
32390	Welfare and housing associate professionals n.e.c.
33110	NCOs and other ranks
33120	Police officers (sergeant and below)
33130	Fire service officers (watch manager and below)
33140	Prison service officers (below principal officer)
33150	Police community support officers
33190	Protective service associate professionals n.e.c.
34110	Artists
34120	Authors, writers and translators
34130	Actors, entertainers and presenters
34140	Dancers and choreographers
34150	Musicians
34160	Arts officers, producers and directors
34170	Photographers, audio-visual and broadcasting equipment operators
34211	Graphic designers
34212	Commercial artists
34213	Exhibition, multimedia designers
34214	Desktop publishing assistants and operators
34219	Graphic design copyists and setters-out
34221	Interior decoration designers
34222	Set designers (stage etc.)
34223	Industrial designers
34224	Textile designers
34225	Clothing designers
34226	Clothing advisers, consultants
34227	Furniture designers
34228	Jewellery designers
34229	Product, clothing and related designers n.e.c.
34410	Sports players
34420	Sports coaches, instructors and officials
34430	Fitness instructors
35110	Air traffic controllers
35120	Aircraft pilots and flight engineers
35130	Ship and hovercraft officers
35200	Legal associate professionals
35310	Estimators, valuers and assessors
35320	Brokers
35330	Insurance underwriters
35340	Finance and investment analysts and advisers
35350	Taxation experts
35360	Importers and exporters
35370	Financial and accounting technicians
35380	Financial accounts managers
35390	Business and related associate professionals n.e.c.
35410	Buyers and procurement officers
35420	Business sales executives
35430	Marketing associate professionals
35440	Estate agents and auctioneers
35450	Sales accounts and business development managers
35460	Conference and exhibition managers and organisers
35500	Conservation and environmental associate professionals
35610	Public services associate professionals
35620	Human resources and industrial relations officers
35630	Vocational and industrial trainers and instructors
35640	Careers advisers and vocational guidance specialists
35650	Inspectors of standards and regulations
35670	Health and safety officers
41120	National government administrative occupations
41130	Local government administrative occupations
41140	Officers of non-governmental organisations
41210	Credit controllers
41220	Book-keepers, payroll managers and wages clerks
41230	Bank and post office clerks
41240	Finance officers
41290	Financial administrative occupations n.e.c.
41310	Records clerks and assistants
41320	Pensions and insurance clerks and assistants
41330	Stock control clerks and assistants
41340	Transport and distribution clerks and assistants
41350	Library clerks and assistants
41380	Human resources administrative occupations
41510	Sales administrators
41590	Other administrative occupations n.e.c.
41610	Office managers
41620	Office supervisors
42110	Medical secretaries
42120	Legal secretaries
42130	School secretaries
42140	Company secretaries
42150	Personal assistants and other secretaries
42160	Receptionists
42170	Typists and related keyboard occupations
51110	Farmers
51120	Horticultural trades
51130	Gardeners and landscape gardeners
51140	Groundsmen and greenkeepers
51190	Agricultural and fishing trades n.e.c.
52110	Smiths and forge workers
52120	Moulders, core makers and die casters
52130	Sheet metal workers
52140	Metal plate workers and riveters
52150	Welding trades
52160	Pipe fitters
52210	Metal machining setters and setter-operators
