major group	sub-major Group	minor group	Unit Group	Group Title
1	11	111	1115	Chief executives and senior officials
1	11	111	1116	Elected officers and representatives
1	11	112	1121	Production managers and directors in manufacturing
1	11	112	1122	Production managers and directors in construction
1	11	112	1123	Production managers and directors in mining and energy
1	11	113	1131	Financial managers and directors
1	11	113	1132	Marketing and sales directors
1	11	113	1133	Purchasing managers and directors
1	11	113	1134	Advertising and public relations directors
1	11	113	1135	Human resource managers and directors
1	11	113	1136	Information technology and telecommunications directors
1	11	113	1139	Functional managers and directors n.e.c.
1	11	115	1150	Financial institution managers and directors
1	11	116	1161	Managers and directors in transport and distribution
1	11	116	1162	Managers and directors in storage and warehousing
1	11	117	1171	Officers in armed forces
1	11	117	1172	Senior police officers
1	11	117	1173	Senior officers in fire, ambulance, prison and related services
1	11	118	1181	Health services and public health managers and directors
1	11	118	1184	Social services managers and directors
1	11	119	1190	Managers and directors in retail and wholesale
1	12	121	1211	Managers and proprietors in agriculture and horticulture
1	12	121	1213	Managers and proprietors in forestry, fishing and related services
1	12	122	1221	Hotel and accommodation managers and proprietors
1	12	122	1223	Restaurant and catering establishment managers and proprietors
1	12	122	1224	Publicans and managers of licensed premises
1	12	122	1225	Leisure and sports managers
1	12	122	1226	Travel agency managers and proprietors
1	12	124	1241	Health care practice managers
1	12	124	1242	Residential, day and domiciliary care managers and proprietors
1	12	125	1251	Property, housing and estate managers
1	12	125	1252	Garage managers and proprietors
1	12	125	1253	Hairdressing and beauty salon managers and proprietors
1	12	125	1254	Shopkeepers and proprietors – wholesale and retail
1	12	125	1255	Waste disposal and environmental services managers
1	12	125	1259	Managers and proprietors in other services n.e.c.
2	21	211	2111	Chemical scientists
2	21	211	2112	Biological scientists and biochemists
2	21	211	2113	Physical scientists
2	21	211	2114	Social and humanities scientists
2	21	211	2119	Natural and social science professionals n.e.c.
2	21	212	2121	Civil engineers
2	21	212	2122	Mechanical engineers
2	21	212	2123	Electrical engineers
2	21	212	2124	Electronics engineers
2	21	212	2126	Design and development engineers
2	21	212	2127	Production and process engineers
2	21	212	2129	Engineering professionals n.e.c.
2	21	213	2133	IT specialist managers
2	21	213	2134	IT project and programme managers
2	21	213	2135	IT business analysts, architects and systems designers
2	21	213	2136	Programmers and software development professionals
2	21	213	2137	Web design and development professionals
2	21	213	2139	Information technology and telecommunications professionals n.e.c.
2	21	214	2141	Conservation professionals
2	21	214	2142	Environment professionals
2	21	215	2150	Research and development managers
2	22	221	2211	Medical practitioners
2	22	221	2212	Psychologists
2	22	221	2213	Pharmacists
2	22	221	2214	Ophthalmic opticians
2	22	221	2215	Dental practitioners
2	22	221	2216	Veterinarians
2	22	221	2217	Medical radiographers
2	22	221	2218	Podiatrists
2	22	221	2219	Health professionals n.e.c.
2	22	222	2221	Physiotherapists
2	22	222	2222	Occupational therapists
2	22	222	2223	Speech and language therapists
2	22	222	2229	Therapy professionals n.e.c.
2	22	223	2231	Nurses
2	22	223	2232	Midwives
2	23	231	2311	Higher education teaching professionals
2	23	231	2312	Further education teaching professionals
2	23	231	2314	Secondary education teaching professionals
2	23	231	2315	Primary and nursery education teaching professionals
2	23	231	2316	Special needs education teaching professionals
2	23	231	2317	Senior professionals of educational establishments
2	23	231	2318	Education advisers and school inspectors
2	23	231	2319	Teaching and other educational professionals n.e.c.
2	24	241	2412	Barristers and judges
2	24	241	2413	Solicitors
2	24	241	2419	Legal professionals n.e.c.
2	24	242	2421	Chartered and certified accountants
2	24	242	2423	Management consultants and business analysts
2	24	242	2424	Business and financial project management professionals
2	24	242	2425	Actuaries, economists and statisticians
2	24	242	2426	Business and related research professionals
2	24	242	2429	Business, research and administrative professionals n.e.c.
2	24	243	2431	Architects
2	24	243	2432	Town planning officers
2	24	243	2433	Quantity surveyors
2	24	243	2434	Chartered surveyors
2	24	243	2435	Chartered architectural technologists
2	24	243	2436	Construction project managers and related professionals
2	24	244	2442	Social workers
2	24	244	2443	Probation officers
2	24	244	2444	Clergy
2	24	244	2449	Welfare professionals n.e.c.
2	24	245	2451	Librarians
2	24	245	2452	Archivists and curators
2	24	246	2461	Quality control and planning engineers
2	24	246	2462	Quality assurance and regulatory professionals
2	24	246	2463	Environmental health professionals
2	24	247	2471	Journalists, newspaper and periodical editors
2	24	247	2472	Public relations professionals
2	24	247	2473	Advertising accounts managers and creative directors
3	31	311	3111	Laboratory technicians
3	31	311	3112	Electrical and electronics technicians
3	31	311	3113	Engineering technicians
3	31	311	3114	Building and civil engineering technicians
3	31	311	3115	Quality assurance technicians
3	31	311	3116	Planning, process and production technicians
3	31	311	3119	Science, engineering and production technicians n.e.c.
3	31	312	3121	Architectural and town planning technicians
3	31	312	3122	Draughtspersons
3	31	313	3131	IT operations technicians
3	31	313	3132	IT user support technicians
3	32	321	3213	Paramedics
3	32	321	3216	Dispensing opticians
3	32	321	3217	Pharmaceutical technicians
3	32	321	3218	Medical and dental technicians
3	32	321	3219	Health associate professionals n.e.c.
3	32	323	3231	Youth and community workers
3	32	323	3233	Child and early years officers
3	32	323	3234	Housing officers
3	32	323	3235	Counsellors
