occupations	name
2429	A (Cabinet Office) 
2429	A (Northern Ireland Office) 
2429	A1 (Dept for International Development) 
4112	A1 (Jobcentre Plus) 
4112	A1 (Office for National Statistics) 
2429	A2 (Dept for International Development) 
4112	A2 (Jobcentre Plus) 
4112	A2 (Office for National Statistics) 
3561	A3 (Dept for International Development) 
4112	A3 (Jobcentre Plus) 
4112	A3 (Office for National Statistics) 
4112	A3 (Scottish Government) 
4112	A4 (Jobcentre Plus) 
4112	A4 (Scottish Government) 
4112	A5 (Jobcentre Plus) 
4112	A6 (Jobcentre Plus) 
4112	A7 (Jobcentre Plus) 
4112	AA (government) 
3311	AB (armed forces) 
8232	AB (shipping) 
2421	ACA 
1131	ACIS 
2421	ACWA 
1116	AM (National Assembly for Wales) 
4112	AO (government) 
4113	AP(T) (local government: grade 1,2,3)
3561	AP(T) (local government: grade 4,5)
8124	APA (power station) 
2421	ASAA 
2444	Abbot 
5319	Abseiler 
4135	Abstractor (press cuttings)
3415	Accompanist 
2421	Accountant, bank 
4122	Accountant, barrack 
4122	Accountant, barracks 
2421	Accountant, borough 
2421	Accountant, branch 
2421	Accountant, certified 
2421	Accountant, chartered 
2421	Accountant, chief, group 
2421	Accountant, chief 
2421	Accountant, company 
2421	Accountant, cost (qualified)
4122	Accountant, cost 
2421	Accountant, cost and management (qualified)
2421	Accountant, cost and works (qualified)
4122	Accountant, cost and works 
2421	Accountant, district 
2421	Accountant, financial (coal mine, qualified)
4122	Accountant, financial (coal mine) 
2421	Accountant, financial 
2421	Accountant, forensic 
2421	Accountant, fund 
2421	Accountant, group (qualified)
4122	Accountant, group 
2421	Accountant, incorporated 
2421	Accountant, management, chartered 
2421	Accountant, management (qualified)
4122	Accountant, management 
2421	Accountant, principal 
3535	Accountant, tax 
3535	Accountant, taxation 
2421	Accountant, treasury 
6211	Accountant, turf 
2421	Accountant, works (qualified)
4122	Accountant, works 
2421	Accountant (qualified, cost and works accountancy)
2421	Accountant (qualified, management accountancy)
2421	Accountant (qualified)
2421	Accountant (government) 
4122	Accountant 
4122	Accountant and auditor 
